DATAFLOW,LAST UPDATE,freq,SEXO,edad,sizeclas,unit,geo,TIME_PERIOD,OBS_VALUE,COMERCIAL,PROBL COMER
ENERO,1,C,femenimo,20,TOTAL,580,IE,2009,833,CAMARERO,INFLACION
FEBRERO ,2,A,femenimo,25,TOTAL,600,IE,2010,850,DEPENDIENTE,DESEMPLEO
ENERO,1,A,femenimo,26,TOTAL,620,IE,2011,856,ABOGADO,INFLACION
FEBRERO ,2,B,masculino ,30,TOTAL,640,LT,2008,712,ADM,INFLACION
MARZO,3,C,masculino ,35,TOTAL,660,LT,2009,705,FINANCIERO,INFLACION
NOVIEMBRE,11,B,masculino ,38,TOTAL,680,LT,2010,711,CAMARERO,DESEMPLEO
DICIEMBRE,12,C,femenimo,45,TOTAL,700,LT,2011,713,DEPENDIENTE,DESEMPLEO
ABRIL,4,A,femenimo,50,TOTAL,720,LV,2008,789,ABOGADO,DESEMPLEO
JUNIO,6,A,femenimo,20,TOTAL,740,LV,2009,781,ADM,INFLACION
AGOSTO,8,B,masculino ,25,TOTAL,780,LV,2010,788,FINANCIERO,DESEMPLEO
OCTUBRE,10,C,masculino ,26,TOTAL,800,LV,2011,788,CAMARERO,INFLACION
MAYO,5,B,masculino ,30,TOTAL,820,NL,2008,781,DEPENDIENTE,DESEMPLEO
JULIO,7,C,femenimo,35,TOTAL,840,NL,2009,781,ABOGADO,INFLACION
SEPTIEMBRE,9,A,femenimo,38,TOTAL,860,NL,2010,777,ADM,INFLACION
ENERO,1,A,femenimo,45,TOTAL,880,NL,2011,776,FINANCIERO,INFLACION
FEBRERO ,2,B,masculino ,50,TOTAL,900,PT,2009,798,CAMARERO,DESEMPLEO
ENERO,1,C,masculino ,20,TOTAL,920,PT,2010,798,DEPENDIENTE,DESEMPLEO
FEBRERO ,2,B,masculino ,25,TOTAL,940,PT,2011,798,ABOGADO,DESEMPLEO
MARZO,3,C,femenimo,26,TOTAL,960,RO,2008,764,ADM,INFLACION
NOVIEMBRE,11,A,femenimo,30,TOTAL,980,RO,2009,756,FINANCIERO,DESEMPLEO
DICIEMBRE,12,A,femenimo,35,TOTAL,100,RO,2010,768,CAMARERO,INFLACION
ABRIL,4,B,masculino ,38,TOTAL,120,RO,2011,772,DEPENDIENTE,DESEMPLEO
JUNIO,6,C,masculino ,45,TOTAL,140,SI,2008,849,ABOGADO,INFLACION
AGOSTO,8,B,masculino ,50,TOTAL,160,SI,2009,859,ADM,INFLACION
OCTUBRE,10,C,femenimo,20,TOTAL,180,SI,2010,859,FINANCIERO,INFLACION
MAYO,5,A,femenimo,25,TOTAL,200,SI,2011,863,CAMARERO,DESEMPLEO
JULIO,7,A,femenimo,26,TOTAL,220,SK,2008,745,DEPENDIENTE,DESEMPLEO
SEPTIEMBRE,9,B,masculino ,30,TOTAL,240,SK,2009,744,ABOGADO,DESEMPLEO
ENERO,1,C,masculino ,35,TOTAL,260,SK,2010,746,ADM,INFLACION
FEBRERO ,2,B,masculino ,38,TOTAL,280,SK,2011,742,FINANCIERO,DESEMPLEO
ENERO,1,C,femenimo,45,TOTAL,300,UK,2008,859,CAMARERO,INFLACION
FEBRERO ,2,A,femenimo,50,TOTAL,320,UK,2009,857,DEPENDIENTE,DESEMPLEO
MARZO,3,A,masculino ,20,TOTAL,340,UK,2010,859,ABOGADO,INFLACION
NOVIEMBRE,11,B,femenimo,25,TOTAL,360,UK,2011,859,ADM,INFLACION
